Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.0,62682,30,2089.4,2080.0,2016,2400,65.8,   1    1    1,  16    4    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,62393,30,2079.8,2079.5,2047,2208,36.7,   1    1    1,  16    4    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,57663,10,5766.3,5488.0,5344,6560,521.3, 368    1    1, 256    1    1,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,56928,12,4744.0,4672.0,3743,5568,566.5,  20    4    1,  32    4    1,"void mul_mat_q_stream_k_fixup<(ggml_type)21, (int)24, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,55198,10,5519.8,5184.0,5120,6367,571.6, 368    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,54013,20,2700.7,2688.0,2656,2784,30.0,  32    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,53726,20,2686.3,2688.0,2655,2752,28.4,   2    2    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,52833,20,2641.7,2608.0,2591,3232,140.6,   2    2    8, 256    1    1,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)2, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.0,50078,30,1669.3,1568.5,1535,1983,157.2,   3    1    1, 256    1    1,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.0,49884,30,1662.8,1600.0,1535,1889,142.3,   3    1    1, 256    1    1,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
0.0,47039,20,2352.0,2351.5,2272,2432,53.4,   4    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,44640,20,2232.0,2224.0,2176,2336,40.0,   8    1    1,  32    4    1,"void fwht_cuda<(int)256>(const float *, float *, long, float)"
0.0,44511,20,2225.6,2224.0,2207,2272,19.4,  32    1    1, 256    1    1,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,42942,20,2147.1,2095.5,2048,2464,110.2,  32    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,40767,10,4076.7,3872.0,3712,4735,420.4, 368    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,40320,10,4032.0,4064.0,3872,4096,64.0,   2    4    8, 256    1    1,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
