Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.0,32992,10,3299.2,3295.5,3264,3392,44.0, 128    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.0,32990,10,3299.0,3295.5,3232,3424,59.2,  16    4    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,30912,10,3091.2,3088.0,2976,3168,52.7,   1   16    1, 256    1    1,"void flash_attn_combine_results<(int)256>(const float *, const float2 *, float *, int)"
0.0,27200,10,2720.0,2720.0,2656,2816,50.0,  16    1    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,27136,10,2713.6,2719.5,2656,2785,44.9,   2    2    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,27136,10,2713.6,2720.0,2688,2720,13.5,  32    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,26529,10,2652.9,2624.0,2592,2912,93.5,   2    2    8, 256    1    1,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)2, (int)8>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.0,26335,10,2633.5,2512.0,2464,2976,231.1,   2   23    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,25216,10,2521.6,2512.0,2464,2624,44.7,  64    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.0,23839,10,2383.9,2368.0,2367,2432,22.7,  64    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,23550,10,2355.0,2352.0,2272,2495,70.8,   4    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,23550,10,2355.0,2368.0,2208,2496,81.3,  64    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,23297,10,2329.7,2304.0,2240,2528,82.4,   2    4    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,22912,10,2291.2,2272.0,2240,2368,37.6,  16    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,22528,10,2252.8,2128.0,2080,2528,199.1,  46    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,22495,10,2249.5,2208.0,2208,2527,98.7,   8    1    1,  32    4    1,"void fwht_cuda<(int)256>(const float *, float *, long, float)"
0.0,22432,10,2243.2,2240.0,2208,2304,31.8,  32    1    1, 256    1    1,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,22368,10,2236.8,2240.0,2208,2272,28.0,   2    1    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,21057,10,2105.7,2080.0,2048,2400,105.3,  32    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,20737,10,2073.7,2080.0,2016,2144,33.1,  64    1    1, 256    1    1,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,20127,10,2012.7,1984.0,1888,2240,93.5,   8    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,19872,10,1987.2,1888.0,1856,2272,189.9,  12    1    1,  32    4    1,"void fwht_cuda<(int)256>(const float *, float *, long, float)"
0.0,19712,10,1971.2,1968.0,1952,2015,22.2,   4    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,19648,10,1964.8,1936.0,1920,2240,98.0,  16    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,19392,10,1939.2,1952.0,1920,1952,16.5,  16    1    1,  32    4    1,"void fwht_cuda<(int)256>(const float *, float *, long, float)"
0.0,19232,10,1923.2,1792.0,1760,2208,182.6,  46    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,19138,10,1913.8,1920.0,1888,1952,20.1,   2    1    1,   1  256    1,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.0,18496,10,1849.6,1824.0,1792,2080,82.3,   4    1    1,  32    4    1,"void fwht_cuda<(int)256>(const float *, float *, long, float)"
0.0,18464,10,1846.4,1824.0,1824,1952,40.1,   2    1    1,  32    4    1,"void fwht_cuda<(int)256>(const float *, float *, long, float)"
0.0,17472,10,1747.2,1760.0,1696,1792,27.0,  16    1    1, 256    1    1,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,16798,10,1679.8,1680.0,1663,1696,16.9,   2    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,16513,10,1651.3,1648.0,1632,1696,22.4,   8    1    1,  32    4    1,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.0,6527,3,2175.7,2048.0,2015,2464,250.2,   1    8    1, 256    1    1,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,4864,1,4864.0,4864.0,4864,4864,0.0,   3    1    1,  32    8    1,"void topk_moe_cuda<(int)256, (bool)0>(const float *, float *, int *, float *, int, int, float, float, topk_moe_config)"
