    preflight: governor=performance thp=[always] mem_avail=14476MiB swap_used=433MiB gpu=17MiB,48,P8
  HumanEval/44                 ok   171 tok  31.54 t/s stop
  HumanEval/48                 ok    87 tok  33.30 t/s stop
  HumanEval/52                 ok   105 tok  32.90 t/s stop
  HumanEval/56                 ok   172 tok  32.97 t/s stop
  HumanEval/60                 ok   135 tok  32.34 t/s stop
  HumanEval/64                 ok   200 tok  30.79 t/s stop
  HumanEval/68                 ok   475 tok  31.41 t/s stop
  HumanEval/72                 ok   284 tok  29.67 t/s stop
  HumanEval/76                 ok   353 tok  32.44 t/s stop
  HumanEval/80                 ok   207 tok  32.67 t/s stop
  HumanEval/84                 ok   287 tok  29.42 t/s stop
  HumanEval/88                 ok   337 tok  32.85 t/s stop
  HumanEval/92                 ok   264 tok  32.40 t/s stop
  HumanEval/96                 ok   280 tok  31.68 t/s stop
  HumanEval/100                ok   239 tok  32.25 t/s stop
  HumanEval/104                ok   229 tok  33.33 t/s stop
  HumanEval/108                BAD 1024 tok  31.19 t/s length
  HumanEval/112                ok   294 tok  31.06 t/s stop
  HumanEval/116                ok   477 tok  31.11 t/s stop
  HumanEval/120                ok   281 tok  30.64 t/s stop
  HumanEval/124                ok   664 tok  31.42 t/s stop
  HumanEval/128                ok   241 tok  32.16 t/s stop
  HumanEval/132                ok   515 tok  31.97 t/s stop
  HumanEval/136                ok   218 tok  33.32 t/s stop
  HumanEval/140                ok   287 tok  31.87 t/s stop
  HumanEval/144                ok   318 tok  32.81 t/s stop
  HumanEval/148                ok   370 tok  30.95 t/s stop
  HumanEval/152                ok   265 tok  32.36 t/s stop
  HumanEval/156                ok   416 tok  32.74 t/s stop
  HumanEval/160                ok   299 tok  32.25 t/s stop
  mmlu_pro/3126                ok   301 tok  30.80 t/s stop
  mmlu_pro/503                 ok   316 tok  31.14 t/s stop
  mmlu_pro/3989                ok   276 tok  32.02 t/s stop
  mmlu_pro/7483                ok    94 tok  32.92 t/s stop
  mmlu_pro/11820               ok   882 tok  32.19 t/s stop
  mmlu_pro/6607                ok   172 tok  30.46 t/s stop
  mmlu_pro/4863                ok   266 tok  29.84 t/s stop
  mmlu_pro/1373                ok   294 tok  31.02 t/s stop
  mmlu_pro/8347                ok   181 tok  32.53 t/s stop
  mmlu_pro/5738                ok   382 tok  30.00 t/s stop
  mmlu_pro/10950               ok   460 tok  29.80 t/s stop
  mmlu_pro/9208                ok   346 tok  31.32 t/s stop
  mmlu_pro/2247                ok   314 tok  29.49 t/s stop
  mmlu_pro/3146                ok   241 tok  31.17 t/s stop
  mmlu_pro/523                 ok   493 tok  32.65 t/s stop
  mmlu_pro/4009                ok   418 tok  32.09 t/s stop
  mmlu_pro/7503                ok   398 tok  30.94 t/s stop
  mmlu_pro/11840               BAD 2048 tok  30.92 t/s length
  mmlu_pro/6627                ok   226 tok  32.27 t/s stop
  mmlu_pro/4883                BAD  226 tok  31.68 t/s stop
  mmlu_pro/1395                ok   417 tok  30.52 t/s stop
  mmlu_pro/8367                ok   238 tok  31.39 t/s stop
  mmlu_pro/5758                ok    54 tok  30.99 t/s stop
  mmlu_pro/10971               ok    96 tok  32.49 t/s stop
